so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,o3Grade,pm10Value,khaiGrade,pm25Value,sidoName,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,stationName,pm10Grade,o3Value
1,,66,0.004,0.3,,,1,48,2,21,대구,,2,,2,,2023-05-25 07:00,1,0.039,이현동,2,0.004
1,,61,0.003,0.6,,,1,36,2,23,대구,,2,,2,,2023-05-25 07:00,1,0.036,평리동,2,0.004
1,,56,0.003,0.5,,,1,30,2,17,대구,,1,,2,,2023-05-25 07:00,1,0.019,대명동,2,0.019
1,,50,0.002,0.3,,,1,29,1,18,대구,,1,,1,,2023-05-25 07:00,1,0.018,신암동,1,0.017
1,,45,0.002,0.7,,,1,31,1,10,대구,,1,,1,,2023-05-25 07:00,1,0.019,태전동,1,0.014
1,,52,0.002,0.4,,,1,35,2,15,대구,,1,,1,,2023-05-25 07:00,1,0.018,산격동,2,0.020
1,,54,0.003,0.4,,,1,29,2,19,대구,,1,,2,,2023-05-25 07:00,1,0.021,만촌동,1,0.014
1,,72,0.001,0.3,,,1,46,2,23,대구,,1,,2,,2023-05-25 07:00,1,0.018,호림동,2,0.025
1,,64,0.002,0.1,,,2,32,2,22,대구,,1,,2,,2023-05-25 07:00,1,0.012,유가읍,2,0.033
1,,69,0.002,0.4,,,1,35,2,20,대구,,1,,2,,2023-05-25 07:00,1,0.025,이곡동,2,0.009
1,,54,0.002,0.4,,,1,36,2,21,대구,,1,,2,,2023-05-25 07:00,1,0.021,시지동,2,0.015
1,,74,0.002,0.4,,,1,39,2,25,대구,,1,,2,,2023-05-25 07:00,1,0.024,진천동,2,0.021
1,,30,0.002,0.3,,,1,13,1,8,경북,,1,,1,,2023-05-25 07:00,1,0.007,군위읍,1,0.018
1,,30,0.001,0.2,,,1,10,1,6,경북,,1,,1,,2023-05-25 07:00,1,0.003,영양군,1,0.017
1,,39,0.002,0.1,,,1,18,1,13,경북,,1,,1,,2023-05-25 07:00,1,0.007,예천군,1,0.023
1,,79,0.002,0.3,,,1,33,2,26,경북,,1,,2,,2023-05-25 07:00,1,0.015,화양읍,2,0.014
1,,81,0.007,1.2,,,1,69,2,26,경북,,2,,2,,2023-05-25 07:00,1,0.037,포항항,2,0.005
1,,81,0.003,0.5,,,1,62,2,20,대전,,2,,2,,2023-05-25 07:00,1,0.048,읍내동,2,0.008
1,,64,0.002,0.2,,,1,43,2,22,대전,,1,,2,,2023-05-25 07:00,1,0.016,문평동,2,0.022
1,,63,0.002,0.4,,,2,40,2,12,대전,,1,,2,,2023-05-25 07:00,1,0.018,문창동,2,0.033
1,,69,0.003,0.2,,,1,43,2,22,대전,,1,,2,,2023-05-25 07:00,1,0.014,구성동,2,0.025
1,,68,0.003,0.3,,,2,49,2,22,대전,,1,,2,,2023-05-25 07:00,1,0.018,노은동,2,0.033
1,,71,0.002,0.2,,,1,44,2,20,대전,,1,,2,,2023-05-25 07:00,1,0.027,상대동(대전),2,0.027
1,,63,0.002,0.3,,,1,38,2,18,대전,,1,,2,,2023-05-25 07:00,1,0.024,관평동,2,0.016
1,,69,0.002,0.3,,,1,50,2,18,대전,,1,,2,,2023-05-25 07:00,1,0.028,대흥동1,2,0.025
1,,72,0.003,0.3,,,2,49,2,17,대전,,1,,2,,2023-05-25 07:00,1,0.023,성남동1,2,0.035
1,,60,0.003,0.3,,,1,36,2,16,대전,,2,,2,,2023-05-25 07:00,1,0.034,대성동,2,0.018
1,,69,0.002,0.3,,,2,44,2,21,대전,,1,,2,,2023-05-25 07:00,1,0.014,정림동,2,0.032
1,,79,0.002,0.4,,,1,60,2,22,대전,,1,,2,,2023-05-25 07:00,1,0.022,둔산동,2,0.029
1,,78,0.002,0.3,,,2,58,2,19,대전,,1,,2,,2023-05-25 07:00,1,0.010,월평동,2,0.033
1,,71,0.003,0.7,,,1,61,2,20,충북,,1,,1,,2023-05-25 07:00,1,0.030,송정동(봉명동),2,0.028
1,,69,0.002,0.4,,,1,45,2,25,충북,,1,,2,,2023-05-25 07:00,1,0.023,사천동,2,0.025
,통신장애,-,-,-,,통신장애,,-,,16,충북,통신장애,,통신장애,1,통신장애,2023-05-25 07:00,,-,용담동,,-
1,,58,0.001,0.3,,,1,37,2,13,충북,,1,,1,,2023-05-25 07:00,1,0.016,용암동,2,0.024
1,,71,0.002,0.3,,,1,52,2,23,충북,,2,,2,,2023-05-25 07:00,1,0.035,복대동,2,0.022
1,,77,0.002,0.3,,,1,46,2,22,충남,,2,,2,,2023-05-25 07:00,1,0.034,성황동,2,0.017
,통신장애,-,-,-,통신장애,통신장애,,-,,-,충남,통신장애,,통신장애,,통신장애,2023-05-25 07:00,,-,백석동,,-
1,,72,0.003,0.4,,,1,53,2,24,충남,,1,,2,,2023-05-25 07:00,1,0.030,성성동,2,0.020
1,,81,0.002,0.3,,,2,52,2,26,충남,,1,,2,,2023-05-25 07:00,1,0.015,성거읍,2,0.032
1,,73,0.004,0.2,,,1,50,2,25,충남,,1,,2,,2023-05-25 07:00,1,0.021,신방동,2,0.021
