구분,방직 당월 (억 미터),화학섬유 당월 (만 톤),에틸렌 당월 (만 톤),플라스틱원료 당월 (만 톤),플라스틱제품 당월 (만 톤),선철 당월 (만 톤),조강 당월 (만 톤),강재 당월 (만 톤),비철금속 당월 (만 톤),금속절삭기계 당월 (만 대),소형트랙터 당월 (만 대),대기오염방지설비 당월 (만 대),공업용로봇 당월 (대),발전설비 당월 (만 kW),자동차 당월 (만 대),조선 당월 (만 톤),세탁기 당월 (만 대),냉장고 당월 (만 대),에어컨 당월 (만 대),컬러TV 당월 (만 대),컴퓨터 당월 (만 대),반도체 당월 (억 장),핸드폰 당월 (만 대)
2018년 1월,63.9,450.3,160.5,731.3,700.4,6001.5,7236.2,9178.5,445.9,6.7,10.8,33842.0,9445.0,1033.4,260.1,286.1,658.3,813.2,1347.3,1749.0,3361.2,134.3,18042.3
2018년 2월,63.4,442.7,154.8,728.5,709.5,5488.3,6615.1,8685.2,432.4,6.3,11.4,28810.0,11243.0,946.2,310.7,291.8,682.7,782.2,1460.1,1800.3,3662.7,136.2,18982.5
2018년 3월,67.9,448.0,160.3,752.2,706.7,5472.3,6704.7,8778.9,472.4,5.8,9.3,40342.0,12682.0,1191.0,305.4,334.9,713.6,660.4,1574.2,1881.9,3382.3,150.3,18630.9
2018년 4월,,,,,,,,,,,,,,,,,,,,,,,
2018년 5월,51.5,403.9,160.0,751.4,558.3,6045.5,7398.0,8976.5,455.4,5.0,4.5,29361.0,14036.0,1029.9,270.2,239.2,658.2,726.0,2019.0,1703.7,3254.6,149.6,15243.6
2018년 6월,51.6,424.1,152.2,707.2,571.2,6310.6,7669.8,9226.5,453.9,5.6,4.4,28414.0,13495.9,555.2,245.0,259.0,618.3,752.6,2143.2,1584.9,2444.5,143.8,14366.7
2018년 7월,49.7,438.4,141.0,697.5,569.4,6688.6,8112.7,9707.0,455.3,5.2,4.6,33747.0,13659.2,1286.7,238.8,255.1,562.4,757.8,2134.4,1555.8,3002.5,156.2,13957.6
2018년 8월,48.2,470.7,146.4,679.5,590.8,6587.9,8019.6,9551.1,461.5,4.7,4.7,36842.0,13777.0,1319.7,233.9,309.8,538.5,713.0,2079.8,1415.3,3235.7,157.0,14109.3
2018년 9월,44.9,451.1,158.4,701.6,538.0,6751.5,8124.1,9569.1,462.4,4.3,3.3,29632.0,13669.0,679.0,206.4,255.8,532.4,651.6,1718.8,1518.5,2892.6,150.9,13518.4
2018년 10월,45.5,442.4,158.0,706.4,529.8,6665.5,8032.6,9637.6,453.5,4.2,3.5,23676.0,14068.0,845.6,203.2,300.1,641.5,693.5,1475.3,1883.8,3377.6,146.8,14860.3
2018년 11월,46.9,415.6,161.0,721.8,541.3,6637.7,8084.5,9675.0,456.3,4.3,3.8,20795.0,11448.0,1162.5,242.6,272.4,652.1,721.0,1608.3,2033.8,3523.9,145.5,15771.1
2018년 12월,46.7,432.0,160.8,735.0,519.3,6773.6,8255.2,9802.4,452.2,3.7,3.0,22617.0,9590.0,859.5,237.0,291.9,662.0,685.4,1356.8,2078.3,3094.1,130.1,15448.5
2019년 1월,48.2,445.0,145.3,715.4,540.0,6372.6,7762.1,9423.6,471.3,3.8,3.0,23720.0,11104.0,872.6,258.2,234.9,635.6,707.0,1519.8,2026.1,3264.8,152.8,17404.3
2019년 2월,47.6,464.0,160.2,760.1,612.3,6320.1,7612.1,9365.0,507.6,3.8,2.5,25808.0,11961.0,808.6,252.6,217.7,696.3,618.8,1832.0,2112.1,3011.0,144.0,16843.4
