방직 당월 (억 미터),방직 누계 (억 미터),방직 전년동기대비 증가율 (%),방직 누계 증가율(%),화학섬유 당월 (만 톤),화학섬유 당월 (누계 만톤),화학섬유 전년동기대비 증가율 (%),화학섬유 누계 증가율(%),에틸렌 당월 (만 톤),에틸렌 당월 (누계 만톤),에틸렌 전년동기대비 증가율 (%),에틸렌 누계 증가율(%),플라스틱원료 당월 (만 톤),플라스틱원료 당월 (누계 만톤),플라스틱원료 전년동기대비 증가율 (%),플라스틱원료 누계 증가율(%),플라스틱제품 당월 (만 톤),플라스틱제품 당월 (누계 만톤),플라스틱제품 전년동기대비 증가율 (%),플라스틱제품 누계 증가율(%),선철 당월 (만 톤),선철 당월 (누계 만톤),선철 전년동기대비 증가율 (%),선철 누계 증가율(%),조강 당월 (만 톤),조강 당월 (누계 만톤),조강 전년동기대비 증가율 (%),조강 누계 증가율(%),강재 당월 (만 톤),강재 당월 (누계 만톤),강재 전년동기대비 증가율 (%),강재 누계 증가율(%),비철금속 당월 (만 톤),비철금속 당월 (누계 만톤),비철금속 전년동기대비 증가율 (%),비철금속 누계 증가율(%),금속절삭기계 당월 (만 대),금속절삭기계 당월 (누계 만대),금속절삭기계 전년동기대비 증가율 (%),금속절삭기계 누계 증가율(%),소형트랙터 당월 (만 대),소형트랙터 당월 (누계 만대),소형트랙터 전년동기대비 증가율 (%),소형트랙터 누계 증가율(%),대기오염방지설비 당월 (만 대),대기오염방지설비 당월 (누계 만대),대기오염방지설비 전년동기대비 증가율 (%),대기오염방지설비 누계 증가율(%),공업용로봇 당월 (대),공업용로봇 당월 (누계 대),공업용로봇 전년동기대비 증가율 (%),공업용로봇 누계 증가율(%),발전설비 당월 (만 kW),발전설비 당월 (누계 만kW),발전설비 전년동기대비 증가율 (%),발전설비 누계 증가율(%),자동차 당월 (만 대),자동차 당월 (누계 만대),자동차 전년동기대비 증가율 (%),자동차 누계 증가율(%),조선 당월 (만 톤),조선 당월 (누계 만톤),조선 전년동기대비 증가율 (%),조선 누계 증가율(%),세탁기 당월 (만 대),세탁기 당월 (누계 만대),세탁기 전년동기대비 증가율 (%),세탁기 누계 증가율(%),냉장고 당월 (만 대),냉장고 당월 (누계 만대),냉장고 전년동기대비 증가율 (%),냉장고 누계 증가율(%),에어컨 당월 (만 대),에어컨 당월 (누계 만대),에어컨 전년동기대비 증가율 (%),에어컨 누계 증가율(%),컬러TV 당월 (만 대),컬러TV 당월 (누계 만대),컬러TV 전년동기대비 증가율 (%),컬러TV 누계 증가율(%),컴퓨터 당월 (만 대),컴퓨터 당월 (누계 만대),컴퓨터 전년동기대비 증가율 (%),컴퓨터 누계 증가율(%),반도체 당월 (억 장),반도체 당월 (누계 억 장),반도체 전년동기대비 증가율 (%),반도체 누계 증가율(%),핸드폰 당월 (만 대),핸드폰 당월 (누계 만대),핸드폰 전년동기대비 증가율 (%),핸드폰 누계 증가율(%)
60.2,216.8,3.1,3.3,435.5,1630.7,1.3,5.9,149.6,612.3,1.1,-3.7,708.4,2833.9,4.5,4.9,647.2,2385.8,0.9,4.7,6257.7,23821.4,5.4,4.2,7277.7,27387.0,4.9,4.6,9489.8,35782.7,0.5,1.7,451.0,1799.6,5.0,8.1,7.2,25.6,12.5,5.8,10.2,41.1,-8.9,-8.1,36538.0,128432.0,-2.0,-1.5,9782.0,35073.0,57.4,51.7,1157.3,3754.5,53.1,10.9,220.9,952.7,0.3,6.9,353.1,1933.9,10.6,31.4,627.4,2555.7,4.2,4.8,834.4,3100.6,3.1,12.4,1950.2,6357.9,20.5,17.6,1273.9,4886.9,-11.6,-7.9,2598.8,10172.5,-0.7,-1.7,129.4,463.0,26.2,25.4,15214.9,60762.7,4.1,9.8
62.9,280.0,4.8,4.2,444.6,2076.5,1.7,4.9,148.1,761.0,-2.0,-3.3,711.4,3537.1,1.7,3.9,674.6,3047.0,3.0,3.8,6173.3,30047.2,-0.1,3.3,7225.9,34683.3,1.8,4.4,9578.2,45367.5,-1.9,0.8,457.7,2263.3,2.4,6.9,7.0,32.8,16.7,10.1,9.4,50.5,-10.5,-8.5,47882.0,176315.0,10.2,1.1,10057.0,44360.0,47.3,50.4,1167.9,4918.6,-20.1,1.5,218.2,1172.3,4.1,6.4,363.4,2297.4,21.1,29.3,586.7,3143.6,2.6,4.4,848.5,3949.6,6.3,10.5,1870.6,8252.3,24.6,19.0,1201.1,6094.5,-6.6,-7.3,2829.5,13002.7,2.5,-0.8,136.2,599.1,25.0,25.1,14929.4,76875.7,0.0,9.1
66.3,345.8,4.4,4.5,478.3,2559.3,2.9,4.8,135.2,896.2,-3.2,-3.2,736.1,4270.6,5.1,4.3,748.1,3812.4,2.9,4.4,6167.8,36255.6,2.2,3.4,7323.1,41974.5,5.7,4.6,9756.9,55154.7,0.7,1.1,485.2,2759.6,6.1,7.2,7.4,39.9,7.2,8.7,9.5,60.1,-6.9,-8.1,50951.0,227274.0,4.5,-0.8,12614.0,59097.0,61.1,52.3,1614.6,6533.9,4.4,2.2,225.0,1396.8,6.2,6.3,365.3,2669.1,-17.5,20.5,635.1,3769.0,0.8,3.5,871.3,4822.4,1.8,8.9,1917.5,10172.0,13.4,17.9,1311.2,7422.7,-3.4,-6.4,3358.2,16372.4,19.9,2.7,145.0,744.0,23.4,23.8,17303.4,93601.3,0.5,6.4
63.1,411.6,2.8,4.7,448.5,3007.9,4.2,4.3,148.3,1044.5,1.0,-2.6,714.0,4995.0,2.6,4.2,689.5,4530.0,2.0,3.7,6207.4,42420.2,5.1,3.5,7402.1,49155.2,10.3,5.1,9667.0,64855.7,2.7,1.1,447.2,3201.0,0.0,6.0,6.3,42.4,6.8,5.2,7.4,67.5,-25.3,-10.4,45757.0,273027.0,10.0,0.9,12458.0,71631.0,90.4,57.0,895.4,7427.2,-16.8,-0.5,207.3,1604.1,4.3,6.0,390.5,3051.0,33.0,21.6,598.0,4370.9,3.0,3.7,851.1,5728.0,15.5,10.9,1665.4,11837.5,23.0,18.6,1273.5,8700.7,-2.4,-5.8,2977.9,19328.1,20.9,5.0,133.3,878.2,17.7,23.7,16356.8,110081.8,0.9,4.0
62.0,471.0,2.3,3.9,435.0,3421.6,9.3,4.8,159.9,1204.3,14.5,-0.7,733.2,5728.5,8.0,4.7,710.0,5261.6,5.2,4.4,6260.8,48670.4,3.8,3.6,7459.4,56640.5,8.7,5.6,9676.3,74517.8,0.5,1.2,442.0,3638.9,-2.2,4.9,6.8,51.0,7.9,7.8,9.1,76.6,-9.9,-9.9,40713.0,313743.0,10.3,2.1,12121.0,82175.0,61.3,63.0,774.4,7935.6,-8.7,-2.1,213.4,1818.1,4.7,5.9,298.8,3320.2,-11.3,17.4,630.4,5001.3,1.3,3.2,858.0,6581.5,17.0,11.6,1462.8,13300.2,19.1,18.7,1545.7,10253.2,-3.1,-5.2,3434.2,22798.5,21.4,7.4,151.7,1030.0,29.9,24.7,16284.1,126287.5,-1.4,2.8
63.2,527.8,2.9,3.4,441.0,3860.8,12.8,5.7,156.9,1359.3,17.4,1.0,764.3,6473.5,14.1,6.0,726.8,6052.0,2.8,5.6,5959.9,54614.1,0.0,3.2,7182.7,63873.1,5.3,6.3,9356.4,82986.3,-1.8,1.2,444.1,4072.9,-3.1,4.1,6.8,57.8,3.0,7.4,10.0,86.8,-16.0,-10.5,41399.0,355136.0,8.9,2.8,13085.0,95351.0,103.2,69.4,1184.0,9096.9,-16.0,-4.7,291.8,2278.9,3.1,4.9,352.9,3671.1,-11.1,14.2,718.7,5728.1,10.3,4.0,846.6,7414.4,14.2,13.3,1525.4,14830.8,20.9,18.9,1756.7,12008.2,3.5,-3.7,3737.8,26354.2,9.4,7.9,139.6,1150.6,20.4,22.1,19000.2,144797.8,7.3,3.4
63.9,588.1,0.2,2.3,450.3,4309.1,6.4,5.7,160.5,1519.8,8.5,1.7,731.3,7144.2,0.8,5.2,700.4,6510.7,2.4,4.2,6001.5,60296.5,2.3,2.7,7236.2,70950.0,6.1,6.1,9178.5,90272.6,-1.6,1.1,445.9,4521.7,-3.3,3.4,6.7,64.5,6.3,7.3,10.8,97.5,-13.6,-10.9,33842.0,309007.0,13.3,10.7,9445.0,104793.0,63.7,68.9,1033.4,10127.5,7.3,-3.5,260.1,2349.4,0.6,5.3,286.1,3953.9,-4.7,12.6,658.3,6395.4,5.0,3.9,813.2,8224.6,18.6,13.7,1347.3,16164.7,13.5,18.5,1749.0,13780.8,10.9,-1.3,3361.2,29429.9,4.2,7.5,134.3,1283.5,12.6,20.7,18042.3,161916.9,4.0,5.3
63.4,631.0,-2.2,1.2,442.7,4543.4,4.5,3.1,154.8,1657.7,6.7,1.9,728.5,7818.0,2.0,4.9,709.5,7012.3,3.1,4.1,5488.3,65614.3,-3.5,2.3,6615.1,76480.2,2.2,5.7,8685.2,97298.2,-2.9,1.1,432.4,4933.8,-6.9,2.5,6.3,63.6,10.5,7.3,11.4,102.2,-4.2,-10.9,28810.0,336658.0,-8.1,5.9,11243.0,118169.0,45.8,68.8,946.2,10814.5,-22.4,-3.3,310.7,2673.1,1.8,4.1,291.8,4162.1,-13.6,12.1,682.7,7013.1,-8.9,3.1,782.2,8742.5,10.0,12.6,1460.1,17542.0,20.0,19.9,1800.3,15584.3,8.8,0.8,3662.7,33071.8,6.2,7.5,136.2,1416.6,9.6,19.4,18982.5,176271.1,-0.5,3.6
67.9,695.6,-0.7,1.2,448.0,4919.6,4.4,5.0,160.3,1821.8,5.2,2.4,752.2,8377.8,3.6,4.5,706.7,7515.5,2.2,3.4,5472.3,71075.9,-4.4,1.8,6704.7,83172.8,1.8,5.7,8778.9,104818.3,-1.1,0.8,472.4,5377.8,2.8,3.0,5.8,64.3,11.5,6.8,9.3,99.6,-9.7,-13.2,40342.0,375697.0,-17.8,3.5,12682.0,131079.0,56.5,68.1,1191.0,11832.7,-9.9,-7.3,305.4,2994.2,0.4,3.2,334.9,4377.0,-4.2,9.5,713.6,7500.9,-2.5,3.2,660.4,8670.3,3.7,13.6,1574.2,18039.8,21.4,26.4,1881.9,17233.1,6.9,1.6,3382.3,36376.4,3.9,7.0,150.3,1564.9,8.8,18.2,18630.9,192207.5,-13.7,1.6
,87.7,,6.7,,715.7,,3.2,,281.2,,-1.5,,1320.1,,2.0,,1395.2,,-4.2,,11331.2,,-1.7,,13681.7,,5.9,,15902.8,,4.6,,885.7,,1.9,,8.7,,6.1,,7.6,,-34.5,,64137.0,,33.1,,18770.0,,25.1,,1286.8,,-6.3,,441.8,,-5.0,,852.3,,-10.2,,1100.6,,-1.1,,1182.9,,4.5,,2802.3,,17.0,,2716.5,,25.5,,4467.6,,6.3,,266.7,,33.3,,26331.7,,-0.1
