구분,2017년 7월,2017년 8월,2017년 9월,2017년 10월,2017년 11월,2017년 12월,2018년 1월,2018년 2월,2018년 3월,2018년 4월,2018년 5월,2018년 6월,2018년 7월,2018년 8월,2018년 9월,2018년 10월,2018년 11월,2018년 12월,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년8월,2022년9월,2022년10월,2022년11월,2022년12월,2023년 1월,2023년 2월,2023년 3월
방직 당월 (억 미터),60.2,62.9,66.3,63.1,62,63.2,63.9,63.4,67.9,,51.5,51.6,49.7,48.2,44.9,45.5,46.9,46.7,48.2,47.6,,42.9,42.2,40.9,42.1,46.9,43.1,43.1,37.9,41.6,41,,32.8,31.9,32.4,33.5,32.9,32.4,34,34.6,35.8,38.1,,0,34.3,33.8,34.1,36,34.4,33.5,33.7,34.1,37.1,39.2,,0,34.7,32.3,31.6,33.8,30.8,30.2,32.1,31.8,33,34.7,,,30.8
방직 누계 (억 미터),216.8,280,345.8,411.6,471,527.8,588.1,631,695.6,87.7,136.5,184.4,231.9,267.2,304.4,346.5,391.4,434.5,481.8,498.9,65.5,105.6,147.5,188.3,228,311.2,335.2,369.8,399.9,443.3,456.9,41.5,73.9,104.7,137.6,169.3,201.3,229.2,261.8,299.2,330.7,371.2,,49.9,82.9,117.1,151.4,187,222,253.1,287.1,318.8,357,396.1,,57,88.1,118.6,147.6,180.3,210.1,237.6,267.6,299.9,332.9,367.5,,50,79.7
방직 전년동기대비 증가율 (%),3.1,4.8,4.4,2.8,2.3,2.9,0.2,-2.2,-0.7,,5.1,6.6,-1,-1.8,-0.9,-0.9,2.2,-0.8,0,0.6,,9.2,1.7,0,-0.5,-3.3,-6.1,-5.5,-13.7,-7.8,-13.1,,-24.9,-21.8,-19.6,-18.9,-18.8,-15.6,-12.6,-0.6,-4.8,-4.3,,0,5.5,9,6.9,8.1,7.2,4,-1.2,0.3,2.8,0.8,,0,0.6,-3.3,-6.2,-4.8,-3.5,-9.6,-3.6,-5.9,-11.1,-10.3,,,-10.2
방직 누계 증가율(%),3.3,4.2,4.5,4.7,3.9,3.4,2.3,1.2,1.2,6.7,5.5,5.5,3.5,2,2.1,1.4,2,1.8,1.4,-0.1,-5.2,0.1,0.9,-0.2,-0.1,-2.6,-1.1,-1.6,-2,-2.2,-5.9,-36,-31.1,-29.1,-27.6,-25.9,-24.4,-22.7,-21.6,-18.5,-18.3,-15.7,,24.1,12.5,14.6,12.3,11.8,12.7,11.8,10.1,9,8.5,7.5,,10.3,6.4,2,-1.3,-2.5,-3.3,-5,-5.5,-5.2,-6.1,-6.6,,-11.2,-8.1
화학섬유 당월 (만 톤),435.5,444.6,478.3,448.5,435,441,450.3,442.7,448,,403.9,424.1,438.4,470.7,451.1,442.4,415.6,432,445,464,,478.1,464.8,490.7,505.1,511.9,511.2,525.8,541.1,546,536.9,,490,519.2,537.3,547.5,524.7,524.7,541.7,560.9,573.8,603.8,,0,596.7,582.9,584.7,585.6,597,585.5,534,536.7,566.1,584.9,,0,635.4,539.7,566.9,597.8,556.3,558.6,579.6,579.2,550.9,523.6,,,657.2
화학섬유 당월 (누계 만톤),1630.7,2076.5,2559.3,3007.9,3421.6,3860.8,4309.1,4543.4,4919.6,715.7,1115.9,1548.5,1984.4,2461.1,2920.3,3337.2,3741.4,4131.3,4571.3,5011.1,789.2,1261.4,1729.9,2244.3,2803.7,3424.3,3918.8,4419.6,4956.9,5492.8,5952.8,727.2,1215.6,1753.2,2294,2810.5,3309.9,3826.5,4438.5,4984.5,5563.1,6167.9,,976.5,1580.4,2169.8,2755,3337.3,3934.5,4519.6,5036.6,5571.5,6139.3,6708.5,,1015.4,1660.9,2202.9,2764,3367.1,3917.1,4471.3,5050.6,5624.8,6176.6,6697.8,,960.9,1590.4
화학섬유 전년동기대비 증가율 (%),1.3,1.7,2.9,4.2,9.3,12.8,6.4,4.5,4.4,,0.3,9.2,9.2,12.6,13.4,13.9,5.4,6.5,7.5,9.1,,20.6,11.1,10.1,7.1,8,9.3,18.6,16.9,16.3,9.3,,-4.5,2.7,3.6,6.9,2.5,2.4,2.5,3.7,5.1,12.2,,0,20.7,11.6,8.4,6.1,9.3,9.2,-2,-4.9,-2.7,-2.8,,0,5.8,-7.6,-3.5,1.4,-7,-4.9,6.7,6.4,-4.3,-11.6,,,3.7
화학섬유 누계 증가율(%),5.9,4.9,4.8,4.3,4.8,5.7,5.7,3.1,5,3.2,3.1,5.2,6.3,8.4,8.5,9.9,8.4,8.3,7.6,7.7,10.5,14.7,13.9,13,12,11.7,11.5,12,12.8,13.5,12.5,-13.6,-10,-5,-3.2,-1,-2.4,-2.4,0.3,0.3,1.2,3.4,,32.4,27.1,22.1,19.2,17.1,16.3,15.6,13.5,11.8,10.3,9.1,,3,4.5,1.4,0,0.5,-0.4,1.2,-0.3,0.4,-0.1,-1,,-6,-4.1
에틸렌 당월 (만 톤),149.6,148.1,135.2,148.3,159.9,156.9,160.5,154.8,160.3,,160,152.2,141,146.4,158.4,158,161,160.8,145.3,160.2,,174.9,169.3,171.4,166,168.4,164.5,166.3,173.6,177.8,186.4,,173.4,167.5,168,159.3,173.8,178.8,187.4,202.4,198.4,208.4,,0,248.9,220.9,228,232.5,237.7,231,222.5,231.7,231.3,245.4,,0,236.5,217.8,244.4,240.2,224.3,222,244.5,261.3,250.9,264.7,,,261.2
에틸렌 당월 (누계 만톤),612.3,761,896.2,1044.5,1204.3,1359.3,1519.8,1657.7,1821.8,281.2,459.2,611.5,752.5,899.8,1052.8,1210.8,1377.2,1538,1680.7,1841,331.3,506,675.3,847.7,1014.8,1190,1354.5,1520.8,1700,1886.3,2052.3,351.6,515.2,682.6,850.7,1010,1180.6,1359.4,1546.8,1749.2,1951.6,2160,,474.6,718.4,939.3,1167.1,1399.7,1635.8,1866.8,2089.1,2320.1,2572.3,2825.7,,487.2,723.7,941.4,1199.2,1439.3,1615.9,1837.9,2120.7,2382.1,2632.8,2897.5,,507.9,768.5
