,발령 지역 명,미세먼지 항목 구분,발령 연도,분기,평균 미세먼지 농도
0,충북,PM25,2018,2018년도 1분기,94.0
1,충북,PM25,2019,2019년도 2분기,81.0
2,충북,PM25,2021,2021년도 4분기,84.0
3,충북,PM25,2021,2021년도 2분기,109.0
4,충북,PM25,2023,2023년도 2분기,94.0
5,충북,PM10,2018,2018년도 4분기,227.0
6,충북,PM10,2018,2018년도 2분기,198.0
7,충북,PM10,2018,2018년도 1분기,151.0
8,충북,PM10,2019,2019년도 2분기,173.0
9,충북,PM10,2020,2020년도 2분기,173.0
10,충북,PM10,2020,2020년도 1분기,199.0
11,충북,PM10,2021,2021년도 4분기,156.0
12,충북,PM10,2022,2022년도 4분기,172.0
13,충북,PM10,2022,2022년도 2분기,172.0
14,충북,PM10,2022,2022년도 1분기,167.0
