,,count,mean,std,min,25%,50%,75%,max
PM25,2018,199.0,87.0,12.0,75.0,78.0,84.0,93.0,164.0
PM25,2019,642.0,90.0,25.0,49.0,78.0,83.0,91.0,224.0
PM25,2020,196.0,83.0,7.0,75.0,78.0,81.0,85.0,119.0
PM25,2021,304.0,97.0,30.0,46.0,78.0,86.0,103.0,212.0
PM25,2022,118.0,82.0,15.0,69.0,77.0,80.0,83.0,219.0
PM25,2023,219.0,90.0,25.0,62.0,77.0,82.0,88.0,205.0
PM10,2018,354.0,209.0,64.0,104.0,162.0,191.0,237.0,461.0
PM10,2019,329.0,177.0,29.0,150.0,158.0,169.0,184.0,322.0
PM10,2020,108.0,191.0,38.0,150.0,166.0,183.0,208.0,380.0
PM10,2021,489.0,270.0,163.0,104.0,154.0,200.0,345.0,1005.0
PM10,2022,165.0,198.0,53.0,105.0,167.0,182.0,213.0,396.0
PM10,2023,524.0,229.0,98.0,105.0,155.0,184.0,285.0,615.0
