,2019_PM25,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
df_2019_PM25,count,181.0,143.0,203.0,8.0,40.0,4.0,1.0,0.0,0.0,2.0,10.0,50.0
df_2019_PM25,mean,88.0,96.0,90.0,81.0,81.0,92.0,77.0,,,81.0,86.0,93.0
df_2019_PM25,std,21.0,30.0,28.0,6.0,5.0,8.0,,,,8.0,14.0,15.0
df_2019_PM25,min,51.0,75.0,49.0,75.0,75.0,82.0,77.0,,,75.0,75.0,75.0
df_2019_PM25,25%,78.0,79.0,76.0,78.0,77.0,86.0,77.0,,,78.0,77.0,81.0
df_2019_PM25,50%,83.0,84.0,81.0,79.0,80.0,92.0,77.0,,,81.0,82.0,88.0
df_2019_PM25,75%,90.0,95.0,90.0,84.0,83.0,98.0,77.0,,,84.0,88.0,102.0
df_2019_PM25,max,162.0,224.0,178.0,92.0,97.0,100.0,77.0,,,87.0,122.0,143.0
df_2019_PM10,count,38.0,32.0,60.0,45.0,16.0,0.0,0.0,0.0,0.0,59.0,60.0,19.0
df_2019_PM10,mean,163.0,182.0,164.0,178.0,178.0,,,,,205.0,172.0,168.0
df_2019_PM10,std,10.0,27.0,9.0,29.0,29.0,,,,,41.0,19.0,16.0
df_2019_PM10,min,150.0,150.0,150.0,150.0,151.0,,,,,151.0,151.0,151.0
df_2019_PM10,25%,155.0,161.0,156.0,158.0,160.0,,,,,170.0,159.0,156.0
df_2019_PM10,50%,160.0,176.0,166.0,169.0,170.0,,,,,206.0,168.0,164.0
df_2019_PM10,75%,168.0,194.0,172.0,189.0,182.0,,,,,232.0,181.0,180.0
df_2019_PM10,max,185.0,245.0,181.0,301.0,264.0,,,,,322.0,281.0,203.0
