구분,2018년 1월,2018년 2월,2018년 3월,2018년 4월,2018년 5월,2018년 6월,2018년 7월,2018년 8월,2018년 9월,2018년 10월,2018년 11월,2018년 12월,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년8월,2022년9월,2022년10월,2022년11월,2022년12월,2023년 1월,2023년 2월,2023년 3월
방직 당월 (억 미터),63.9,63.4,67.9,,51.5,51.6,49.7,48.2,44.9,45.5,46.9,46.7,48.2,47.6,,42.9,42.2,40.9,42.1,46.9,43.1,43.1,37.9,41.6,41,,32.8,31.9,32.4,33.5,32.9,32.4,34,34.6,35.8,38.1,,0,34.3,33.8,34.1,36,34.4,33.5,33.7,34.1,37.1,39.2,,0,34.7,32.3,31.6,33.8,30.8,30.2,32.1,31.8,33,34.7,,,30.8
화학섬유 당월 (만 톤),450.3,442.7,448,,403.9,424.1,438.4,470.7,451.1,442.4,415.6,432,445,464,,478.1,464.8,490.7,505.1,511.9,511.2,525.8,541.1,546,536.9,,490,519.2,537.3,547.5,524.7,524.7,541.7,560.9,573.8,603.8,,0,596.7,582.9,584.7,585.6,597,585.5,534,536.7,566.1,584.9,,0,635.4,539.7,566.9,597.8,556.3,558.6,579.6,579.2,550.9,523.6,,,657.2
에틸렌 당월 (만 톤),160.5,154.8,160.3,,160,152.2,141,146.4,158.4,158,161,160.8,145.3,160.2,,174.9,169.3,171.4,166,168.4,164.5,166.3,173.6,177.8,186.4,,173.4,167.5,168,159.3,173.8,178.8,187.4,202.4,198.4,208.4,,0,248.9,220.9,228,232.5,237.7,231,222.5,231.7,231.3,245.4,,0,236.5,217.8,244.4,240.2,224.3,222,244.5,261.3,250.9,264.7,,,261.2
플라스틱원료 당월 (만 톤),731.3,728.5,752.2,,751.4,707.2,697.5,679.5,701.6,706.4,721.8,735,715.4,760.1,,790.2,759.4,756.5,759.6,779.3,771,797.4,822.9,827.2,883.3,,839,828.1,842.1,848.8,828.7,877.4,895.2,920.3,932.8,946.3,,0,969.5,905.5,920.6,932.7,900.5,906.3,877.8,906.2,942.6,978.7,,0,991.9,900.6,953.9,940.5,893.7,894.4,961.9,966,978.6,1012.9,,,1026.9
플라스틱제품 당월 (만 톤),700.4,709.5,706.7,,558.3,571.2,569.4,590.8,538,529.8,541.3,519.3,540,612.3,,540.4,489.3,621,633.1,758,742.5,679.7,656.5,691.1,761.5,,784.5,611.8,669,654.8,681.6,656.6,708.1,686.6,790.3,774.8,,0,723,706.9,694.5,721.3,677.5,680.8,690.1,683.6,731.6,795.2,,0,787.8,661.6,688.8,699.6,642.2,644.1,692,668.5,697.8,718.3,,,732.9
선철 당월 (만 톤),6001.5,5488.3,5472.3,,6045.5,6310.6,6688.6,6587.9,6751.5,6665.5,6637.7,6773.6,6372.6,6320.1,,6615.2,6983.4,7219,7013.9,6831.4,7117.4,6730.6,6558.2,6477.1,6706.3,,6697.2,7202.1,7731.5,7663.5,7818.3,7854.6,7578.3,7617.1,7200.5,7421.5,,0,7474.5,7597.2,7815,7578.2,7284.9,7153.4,6518.7,6302.7,6173,7209.5,,0,7159.8,7677.8,8048.9,7687.5,7048.6,7137.4,7393.9,7082.9,6798.6,6899.8,,,7806.8
조강 당월 (만 톤),7236.2,6615.1,6704.7,,7398,7669.8,8112.7,8019.6,8124.1,8032.6,8084.5,8255.2,7762.1,7612.1,,8032.6,8503.2,8909.1,8753.3,8522.3,8725.1,8277.3,8152.1,8028.7,8426.5,,7897.5,8503.3,9226.7,9157.9,9335.9,9484.5,9255.5,9220.2,8766,9125.2,,0,9402.1,9784.6,9945.4,9387.5,8679,8323.9,7375,7158.4,6931.3,8619.3,,0,8829.5,9277.5,9661.3,9073,8142.9,8386.8,8694.9,7975.9,7454.4,7788.9,,,9572.6
강재 당월 (만 톤),9178.5,8685.2,8778.9,,8976.5,9226.5,9707,9551.1,9569.1,9637.6,9675,9802.4,9423.6,9365,,9786.7,10205.2,10740.3,10709.9,10581.8,10638.9,10437.1,10263.6,10401.6,10432.9,,9888,10701.2,11452.7,11585.1,11688.5,11913.3,11806.3,11848.3,11734.4,12033.8,,0,11987.2,12127.5,12469.4,12072.3,11099.7,10880.4,10195.1,10173.7,10102.9,11354.8,,0,11688.7,11482.7,12261.1,11841.7,10624.2,10832.9,11618.8,11484.7,10918.6,11193.4,,,12724.7
비철금속 당월 (만 톤),445.9,432.4,472.4,,455.4,453.9,455.3,461.5,462.4,453.5,456.3,452.2,471.3,507.6,,466.6,473.6,474,489.7,489.7,491,496.7,497.1,511,531,,482.8,492.7,498.3,508.2,507.5,528.6,532.4,544.7,549.2,574.6,,0,548.3,548.4,545,549,536.7,529.5,523.4,525.9,535.2,547.4,,0,563.5,553.1,564.4,569.7,562.8,573.6,578.3,585.2,588.1,594.6,,,627.6
금속절삭기계 당월 (만 대),6.7,6.3,5.8,,5,5.6,5.2,4.7,4.3,4.2,4.3,3.7,3.8,3.8,,5,3.6,3.8,4.3,3.8,3.7,3.7,3.2,3.3,3.6,,3.6,3.9,4.1,4.5,3.9,3.8,4.1,4,4.4,4.9,,0,6,5.9,5.8,5.7,5.1,4.8,4.8,4.4,4.8,5.5,,0,5.8,4.7,5,5.3,4.6,4.5,4.4,4.3,4.6,5.3,,,6.3
