,발령 지역 명,미세먼지 항목 구분,발령 연도,분기,평균 미세먼지 농도
0,강원,PM25,2018,2018년도 1분기,96.0
1,강원,PM25,2019,2019년도 4분기,80.0
2,강원,PM25,2020,2020년도 1분기,77.0
3,강원,PM25,2021,2021년도 4분기,79.0
4,강원,PM25,2021,2021년도 2분기,90.0
5,강원,PM25,2022,2022년도 2분기,137.0
6,강원,PM25,2023,2023년도 2분기,86.0
7,강원,PM25,2023,2023년도 1분기,86.0
8,강원,PM10,2018,2018년도 4분기,198.0
9,강원,PM10,2018,2018년도 1분기,168.0
10,강원,PM10,2019,2019년도 2분기,159.0
11,강원,PM10,2022,2022년도 4분기,211.0
12,강원,PM10,2022,2022년도 2분기,186.0
13,강원,PM10,2022,2022년도 1분기,193.0
14,강원,PM10,2023,2023년도 1분기,170.0
