,발령 지역 명,미세먼지 항목 구분,발령 연도,분기,평균 미세먼지 농도
0,대구,PM25,2018,2018년도 4분기,85.0
1,대구,PM25,2019,2019년도 4분기,82.0
2,대구,PM25,2020,2020년도 4분기,82.0
3,대구,PM25,2020,2020년도 1분기,76.0
4,대구,PM25,2021,2021년도 4분기,82.0
5,대구,PM25,2021,2021년도 2분기,78.0
6,대구,PM25,2023,2023년도 2분기,87.0
7,대구,PM25,2023,2023년도 1분기,80.0
8,대구,PM10,2018,2018년도 4분기,205.0
9,대구,PM10,2018,2018년도 2분기,216.0
10,대구,PM10,2019,2019년도 2분기,189.0
11,대구,PM10,2019,2019년도 1분기,152.0
12,대구,PM10,2020,2020년도 2분기,208.0
13,대구,PM10,2022,2022년도 4분기,179.0
14,대구,PM10,2022,2022년도 1분기,221.0
15,대구,PM10,2023,2023년도 2분기,252.0
