,발령 지역 명,미세먼지 항목 구분,발령 연도,분기,평균 미세먼지 농도
0,인천,PM25,2018,2018년도 1분기,105.0
1,인천,PM25,2019,2019년도 4분기,100.0
2,인천,PM25,2019,2019년도 3분기,77.0
3,인천,PM25,2019,2019년도 2분기,82.0
4,인천,PM25,2021,2021년도 2분기,113.0
5,인천,PM25,2023,2023년도 2분기,96.0
6,인천,PM10,2018,2018년도 4분기,265.0
7,인천,PM10,2018,2018년도 2분기,205.0
8,인천,PM10,2018,2018년도 1분기,178.0
9,인천,PM10,2019,2019년도 2분기,185.0
10,인천,PM10,2020,2020년도 1분기,151.0
11,인천,PM10,2021,2021년도 4분기,158.0
12,인천,PM10,2022,2022년도 4분기,246.0
13,인천,PM10,2022,2022년도 2분기,185.0
14,인천,PM10,2022,2022년도 1분기,244.0
